pico-8 version,header version,pico8_preprocess address,pico8_preprocess size
0.0.5,version 4,0x0003dcc0,1112
0.1.0,version 4,0x0003e750,1112
0.1.1,version 4,0x0003fc00,1404
0.1.2,version 5,0x00045640,1404
0.1.3,version 5,0x00045710,1404
0.1.4,version 5,0x00046490,1516
0.1.4b,version 5,0x00046490,1516
0.1.4c,version 5,0x00046480,1516
0.1.4d,version 5,0x00046480,1516
0.1.5,version 5,0x000475b0,1516
0.1.6,version 7,0x0004a680,1513
0.1.8,version 8,0x0004b230,3032
0.1.9,version 8,0x00049c90,3071
0.1.9b,version 8,0x0004a1e0,3109
0.1.10,version 8,0x0004ac40,3109
0.1.10b,version 8,0x0004ac40,3109
0.1.10c,version 8,0x0004ac40,3109
0.1.11,version 11,0x00053270,3984
0.1.11b,version 11,0x00053270,3925
0.1.11c,version 12,0x00053580,3925
0.1.11d,version 14,0x000535d0,3925
0.1.11e,version 15,0x000556e0,3469
0.1.11f,version 15,0x00055730,3469
0.1.11g,version 16,0x000557f0,3514
0.1.12,version 17,0x0005d580,3639
0.1.12b,version 18,0x0005df50,3639
0.1.12c,version 18,0x0005dfa0,3639
0.2.0,version 19,0x0006de30,5712
0.2.0b,version 20,0x0006e320,5712
0.2.0c,version 21,0x0006e620,5712
0.2.0d,version 22,0x0006fae0,5956
0.2.0e,version 23,0x00070570,5956
0.2.0f,version 24,0x00070470,5956
0.2.0g,version 25,0x000706c0,5956
0.2.0h,version 26,0x00070880,5643
0.2.0i,version 27,0x000709b0,5643
0.2.1,version 28,0x00075210,5850
0.2.1b,version 29,0x000752d0,5850
0.2.2,version 30,0x000800b0,5848
0.2.2b,version 31,0x00080b40,5883
0.2.2c,version 32,0x00080b40,5883
0.2.3,version 33,0x000817b0,5747
0.2.4,version 34,0x000833d0,5757
0.2.4b,version 35,0x00083bf0,5788
0.2.4c,version 36,0x00085070,5788
0.2.5,version 37,0x0008f220,5788
0.2.5b,version 37,0x0008f220,5788
0.2.5c,version 38,0x0008f360,5788
